"ID","year","sex","unit","used_out","used_in","month","month_long","avail_pts","m_elev","m_snd","m_a.sin","m_a.cos","m_rough","m_bio","m_herb","m_shrub","m_tree","m_SC_elev","m__SC_a.sin","m__SC_a.cos","m__SC_rough","m__SC_bio","m__SC_herb","m__SC_shrub","m_SC_tree","m_road","m_PDSI","Intercept_beta","Elev_beta","Asp_sin_beta","Asp_cos_beta","Rough_beta","Herb_beta","Shrub_beta","Tree_beta","Intercept_stder","Elev_stder","Asp_sin_stder","Asp_cos_stder","Rough_stder","Herb_stder","Shrub_stder","Tree_stder","is.Winter","is.Spring","is.Summer","is.Fall","is.2018","is.2019","is.2020","is.2021","mortality","age_class","age","b_year","tendency","mig_tend","is.mig","is.res","is.unk_mig","is.Adult","is.age_unk","is.Male","is.Female","is.unk","is.AntelopeIsland","is.Dugway","is.NorthSlope","is.Plateau","is.SouthwestDesert","is.WestDesert","is.Woodruff","clim.reg","is.NorthCentral","is.NorthMnt","is.Western","is.SouthCentral","is.mountain"
"PR17F0001",2018,"F","Plateau",63,272,4,"April",111222,2299.60236511818,4.71553950355411,0.248773035663249,-0.335708601318468,8.01709500217611,393.300740860621,22.744897592203,15.8064591537645,4.93977810145475,0.399945120071866,0.30138546847046,-0.633061550058092,0.0598542442702618,0.0601477816409804,-0.333848164135009,-0.100338672013475,0.115945032839453,0.0500080919242596,-2.64967138854574,-16.2857974351878,2.05468397598095,0.298463258395785,-0.47435483349686,-0.146795376920006,-0.0441491664375745,0.249812064560667,-2.55361531681659,0.200547970690304,0.316922129765467,0.0787660691653221,0.0754020869056789,0.0903911051250271,0.103135154335556,0.102569326932132,0.311430717723612,0,1,0,0,1,0,0,0,"false","adult",7.5,2013,"res","res",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0001",2018,"F","Plateau",144,213,7,"July",111556,2568.70583405796,NA,0.342323030037004,0.216939273870838,6.53876009486337,121.860590196852,16.3613073254688,28.4162752339632,2.53409050163147,0.934430418687967,0.430750558540897,0.175868656010021,-0.102730670713037,-0.660133917100317,-0.625286148298639,1.12644968566485,-0.161467185614613,0.0326114238588691,-3.99573887812753,-16.2440439293884,0.935314548587287,-0.376032942013329,-0.496395168231549,0.00359731376696612,-0.914962731736746,0.591379872242075,0.350997569986652,0.474900333497536,0.401187511570392,0.0583846247848061,0.0542043701022843,0.104916730117861,0.335787408576417,0.12975813096336,0.124748848004492,0,0,1,0,1,0,0,0,"false","adult",7.5,2013,"res","res",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0001",2018,"F","Plateau",0,323,2,"February",110889,2447.47180694824,164.329222202245,0.238578761240729,-0.498942838171666,8.93155220606305,255.380317254191,18.3077582086591,19.4692530368206,8.92092092092092,0.693639003261545,0.287288372712195,-0.871993265501307,0.160424788883919,-0.305831815568323,-0.536422405801471,0.256008546988767,0.575031101043703,0.049238427616806,-2.53429967025615,-16.4506981828178,0.891896123171315,0.583032142207081,-0.716680610784211,-0.493389358639706,-0.888369962979413,-0.241962346497575,-1.7317793903097,0.286501955364493,0.29688650151066,0.108945632210779,0.123362972677737,0.13911036376884,0.157216925800052,0.103148271022224,0.215733674041288,1,0,0,0,1,0,0,0,"false","adult",7.5,2013,NA,NA,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0002",2018,"F","Plateau",0,358,7,"July",111222,2627.47997867757,NA,0.316867331321727,0.11898152469616,8.27841232784642,132.6425617234,18.2888906870943,28.8794842746939,1.29041017064969,1.05116587498543,0.395549286973194,0.0324844401588385,0.0885935069147461,-0.631523349548201,-0.537283788224411,1.17151453472574,-0.304882365412142,0.0264695833558109,-4.18813843344989,-15.5974850203316,0.218969025977817,-0.475736339893383,-0.485994183026237,-1.02159850175626,0.307394548810824,0.875139121256416,-0.489829917352598,0.498607081503611,0.361206484965504,0.0601027323481198,0.0556257229210059,0.137396957308023,0.365441122247005,0.130175755188798,0.372359031157564,0,0,1,0,1,0,0,0,"false","adult",6.5,2014,"mig","mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0002",2018,"F","Plateau",59,276,4,"April",111222,2548.34487064722,26.3451290397433,0.328830023692772,0.17157691714088,7.16415532532907,155.403607200014,18.5825286364209,26.6103109097121,3.01260541979105,0.893990079321189,0.412091829668411,0.109470172952918,-0.0339507008474423,-0.571125635868284,-0.523877969797807,0.950750373852304,-0.10628716763565,0.0276923630217043,-2.90655973926059,-16.9006496089277,2.90942981863928,-0.154498063333187,-0.34619540782656,-0.0739288125613085,0.149911071837044,-0.310811894075612,-1.12073594189949,0.415325549628254,0.397054451256069,0.0657109772407371,0.0534314257445817,0.101520085339298,0.307286500197198,0.112625044257086,0.311262755908645,0,1,0,0,1,0,0,0,"false","adult",6.5,2014,"mig","mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0002",2018,"F","Plateau",198,148,11,"November",110889,2525.27681217297,8.02844404534181,0.356108967754097,0.17925162146661,6.03209754042472,132.87784180577,16.1267303339375,29.2045288531775,2.24501979456934,0.848172988331329,0.449814365935176,0.12070390862882,-0.158452610262153,-0.630899020623409,-0.635995583379287,1.203137589501,-0.194801416602078,0.0386422458494531,-3.27605215480938,-5.52233118587544,-8.44899342696201,-0.446757019720661,0.0600979697004258,-2.04799313750006,1.74744268418107,-1.76292910077054,-1.14489150382794,0.452555586449674,0.563054754909742,0.0622384184707186,0.0525838637211854,0.168089821442454,0.225942705837434,0.121164537198339,0.191278253265896,0,0,0,1,1,0,0,0,"false","adult",6.5,2014,"mig","mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0002",2018,"F","Plateau",0,316,2,"February",111222,2377.52423521877,157.057471848021,0.298254985588976,0.0434768819255572,9.18901452488112,183.996214777652,17.2653791516067,22.1556796317275,4.16167664670659,0.554711218678939,0.369811308064079,-0.0780343711450163,0.188740084023997,-0.49525354433318,-0.584011433046034,0.517366591343156,0.0262181494486591,0.031028034022046,-2.48129262352446,-19.8845927521639,7.47434105181361,-0.470681568657787,-0.0619851813907761,-1.92246092451483,0.138163810172749,-1.51291826776155,-4.19300780870858,0.388071696563488,0.44677714902953,0.0625851402582968,0.0536686829684542,0.192025583697392,0.145642174326051,0.134902419543642,0.607261501098728,1,0,0,0,1,0,0,0,"false","adult",6.5,2014,"mig","mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0002",2019,"F","Plateau",101,258,7,"July",111556,2671.82095192363,NA,0.295389093993754,-0.0260972117052951,8.33019115460719,213.774982968195,25.141193660583,26.8070117250529,1.79375380974578,1.13923459598603,0.365848225791013,-0.179872428295836,0.094288059688405,-0.416233908931943,-0.224447080035481,0.969887074076254,-0.246839219836363,0.0271253899386855,2.83418988889362,-13.3767927086914,-1.99596633634521,-0.501767338342443,-0.161553168562718,0.0484324631406594,-0.201980156347293,0.743383385337967,-2.11538097809632,0.413195623692338,0.360253981301681,0.0580893519866203,0.0562923772563955,0.0867548763528246,0.287508072561624,0.103154196585723,0.46262571043083,0,0,1,0,0,1,0,0,"false","adult",6.5,2014,"mig","mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0002",2019,"F","Plateau",1,352,4,"April",111222,2346.67090929434,73.4034003249489,0.360902095201517,0.102056110640734,7.8746851274752,190.309192425959,16.4976533419647,19.4069608530686,4.11646976317635,0.493431261252199,0.45644251560109,0.00771011405660819,0.0441922334116282,-0.478501703260593,-0.61906137406722,0.24994824243593,0.0210051110431575,0.0302188415960871,0.175743050065802,-16.8022207069319,1.75033511436742,0.154188526921829,-0.171974460155196,0.63928637247376,-1.96900762377607,-0.280501600968892,-1.43735396047015,0.276119227765533,0.327507726589339,0.0674569979765808,0.0562458710388795,0.0677391894093484,0.210872980753291,0.0965902463604595,0.159272015438959,0,1,0,0,0,1,0,0,"false","adult",6.5,2014,"mig","mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
"PR17F0002",2019,"F","Plateau",0,310,2,"February",111222,2309.6709298578,237.292219783193,0.367834528379048,0.0643211898696079,8.30643114021816,240.27827228426,17.6723849598101,18.061876247505,4.21233209257161,0.419943003609736,0.466028992312522,-0.047523821702024,0.0916749712059956,-0.345905940854539,-0.565429890790131,0.119087163756991,0.0320594896190242,0.0371599144054234,-2.16982662836608,-16.16424809214,0.448215707327571,0.0276986999871417,-0.378717077589473,0.188817615167076,-1.54978175623736,0.589175967772496,-1.15089510581369,0.263583809063815,0.32789084258566,0.0714635743934048,0.0594353928558636,0.0748203077175119,0.23476288103915,0.10560084332927,0.19067707313901,1,0,0,0,0,1,0,0,"false","adult",6.5,2014,"mig","mig",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"South Central",0,0,0,1,0
